Front Text;Back Text
disturbing;niepokojący, zatrważający
drug;lek, narkotyk
cloudy;pochmurny
cooing;gruchanie, gaworzenie
hubby;mężuś
cone;szyszka, stożek, rożek
rapid;gwałtowny, bardzo szybki
people;ludzie
growling;warczenie, warczący
mess;bałagan, brud
include;zawierać, obejmować
sow;sowed sowed/sown - locha, maciora, siać, wysiewać
border;granica, obwódka
I can transfer you to his/her voice mail;Mogę Cię przenieść na jego/jej pocztę głosową
firm;twardy, ubity, mocny, pewny
angrily;gniewnie, w złości
e.g.;(skrót exempli gratia) na przykład
proverbial;przysłowiowy, słynny
comfortable;wygodny, komfortowy
clash;starcie, pojedynek
raspberry;malina
cub;młode(ANIMALS)
delete;skreślać, kasować
lifter;osoba podnosząca, sztangista, szpatułka(kuchenna)
correct;poprawny, prawidłowy, poprawiać
glitter;blask, brokat, błyszczeć
conscience;sumienie
intermediate;pośredni, średniozaawansowany
instinct;instynkt, odruch
veil;welon, woalka, ukrywać
starvation;głód, śmierć głodowa
basis;pl bases - podstawa
scow;barka
shop;sklep
doorknob;gałka u drzwi(okrągła klamka)
earnestly;poważnie, rzetelnie, sumiennie
sole;podeszwa, jedyny, wyłączny
pointer;wskaźnik
summon;wzywać, zwoływać
greeting;pozdrowienie
quaintly;niezwykle, uroczo
soup;zupa
piping;rury, przesyłanie rurami
assembly;zgromadzenie, montaż
appeal;wnosić apelację, odwoływać się, apelacja, odwołanie
set;set set - grupa, zbiór, ustalony, ustalać
prison;więzienie, więzienny
lead to;prowadzić do
silencer;tłumik
hand-held;ręczny
incline;pochylać się
crime;przestępczość, przestępstwo
prince;książę
organic;organiczny
bewitch;oczarowywać, rzucić czar
binding;wiążący, oprawa(BOOK)
tattered;podarty, zużyty
clap;klaskać, klaskanie
sunshine;światło słoneczne, kochanie, słonko
catalogue;katalog, katalogować
aubergine;bakłażan, oberżyna
thankful for;wdzięczny za
strawberry;truskawka
yes-man;pl yes-men - potakiwacz
stem;łodyga, nóżka, powstrzymywać
depressed;w depresji
grim;ponury, surowy
clover;koniczyna
deter;odstraszać
billion;miliard(1 000 000 000)
mare;klacz
beneath;pod, poniżej, pod spodem
dig up;odkopać, wykopać
stringent;surowy
carcase;padlina, kadłub
oil;olej, oliwa, oliwić
attention;uwaga
turtle;żółw
rake;grabie, grabić
mechanical;mechaniczny
incredible;niewiarygodny
rather;dość, dosyć
should;powinieneś
disillusion;rozczarowywać
pollution;zanieczyszczenie
department store;dom handlowy z jednym właścicielem
sabre;(UK) szabla
threat;groźba, zagrożenie
monarch;monarcha
tread;trod trodden - nadepnąć, iść, bieżnik(w oponie), ślad buta
sidewalk;(US) chodnik
precision;precyzja, dokładność
thorn;cierń, kolec
land;ziemia, ląd, kraj, lądować
ticket;bilet, mandat(za wykroczenie drogowe)
interrupt;przerywać
regular;regularny, normalny
hotkey;klawisz szybkiego dostępu
brim;brzeg(of cup)
mark;znak, ślad, znakować, ocena
half;pl halves - połowa, do połowy
snowy;śnieżny
cherished;ulubiony, ukochany
dress;suknia, odzież, ubierać się
habit;zwyczaj
grade;jakość, ocena
thoughtless;bezmyślny, lekkomyślny
breech;zamek, zamkowy
tarp;(US) brezent, wodoodporna plandeka
customer;klient
spyglass;luneta
dawn;świt, świtać
promise;przyrzeczenie, przyrzekać
turning circle;promień skrętu
thee;=you
beware;uwaga!, ostrożnie!, uważać, wystrzegać
unsophisticated;prosty, nieskomplikowany
temporary;tymczasowy
gooseberry;agrest
yummy;pyszny, pychota(informal)
trumpet;trąbka
price list;cennik
make up sth;tworzyć coś, wymyślić coś, przygotowywać coś
progress;postęp, robić postępy
fun;zabawa
hardly;ledwie, ledwo
underneath;pod spodem
boxing;boks
emotion;uczucie, emocja
pop;pop(MUSIC), napój gazowany, pękać, wychodzić na wierzch
chapel;kaplica, nabożeństwo
difficult;trudny
quaint;niezwykły, uroczy
carton;karton
defined;określony, zdefiniowany
pure;czysty
mango;pl mangoes - mango(OWOC)
withhold;withheld withheld - wstrzymać(payment), zataić, ukryć
high;wysoki, duży
lock;zamek, lok(włosy), zamykać na klucz, blokować
rectangle;prostokąt
virgin;dziewica, prawiczek, dziewiczy
winter;zima
hast;"archaiczna forma drugiej osoby liczby pojedynczej czasownika ""have"""
customized;(US) wykonany na zamówienie, zindywidualizowany
worried;zmartwiony, przejęty
link;więź, połączenie, łączyć
wifey;żonka
messy;brudny
boatswain;bosman
exercise;ćwiczenia fizyczne, ćwiczenie
president;prezydent, prezes, przewodniczący(ca)(of organization)
hum;nucić, buczeć, buczenie
abeam;trawers(kierunek prostopadły do diametralnej jednostki pływającej)
chemistry;chemia
September;wrzesień
rat;szczur
avenge;mścić, pomścić
invert;odwracać
sizzle;skwierczeć
persuade;przekonywać, namawiać
formula;pl formulas/formulae - formuła
female;płci żeńskiej, samica, kobieta
threaten;grozić, zagrażać
upper;górny, wyższy, wierzch
novelist;powieściopisarz(-arka)
breed;bred bred - hodować, rozmnożyć się
feature;cecha, reportaż
abandonment;porzucenie, opuszczenie
thunderbolt;piorun
tablet;tabletka, tablica
sunny;słoneczny
white;biały
cavalry;kawaleria
inheritable;dziedziczny
tottery;chwiejny, niepewny
ration;przydział, racja, racjonować
protest;protest, protestować
fulfilment;(UK)satysfakcja, spełnienie
flower bed;klomb
fly up;unieść się, wzlatywać
chief;wódz, szef, główny
brink;skraj, krawędź
housewife;gospodyni domowa
aside;na bok
gak;kokaina
calf;pl calves - cielę, łydka(ANAT)
fauna;fauna
convince;przekonywać
tiller;oracz, rolnik, rumpel(drążek sterowy)
cupcake;babeczka
deform;deformować, zniekształcać
athlete;sportowiec
cater for;zaopatrywać
blessedness;błogostan
read;read read - czytać
previous;poprzedni
spear;włócznia, dźgać włócznią
control total;suma kontrolna
mustard;musztarda
during;podczas, w czasie
scenario;scenariusz
ferocity;dzikość, okrucieństwo
eternal;wieczny
adversary;przeciwnik
viva;wiwat
herbal;ziołowy
ohm;om(ELECTRICITY)
station;dworzec, stacja
the Mafia;mafia
lentils;soczewica
fitted;dopasowany, wbudowany
affair;sprawa, romans
uncharted;nieznany
cosmetic;kosmetyk, kosmetyczny
downwards;w dół, ku dołowi
jeans;dżinsy
freezer;zamrażarka
basket;kosz, koszyk
content;zadowalać, zawartość, treść
toxic;toksyczny
rider;jeździec, rowerzysta, motocyklista
secondly;po drugie
smelly;śmierdzący
championship;mistrzostwa
asterisk;znak *(symbolizujący przypis w dokumencie)
uneasy;niespokojny
bone;kość, oczyszczać z kości
oppose;sprzeciwiać się
connectivity;dołączalność, zdolność przyłączeniowa
ongoing;toczący się, trwający
resonant;donośny, brzmiący, rezonansowy, rezonujący
chess;szachy
strain;obciążenie, nadwyrężenie
noisy;hałasujący, hałaśliwy
startle;przestraszyć się, zaskoczyć
best man;drużba, świadek(na ślubie)
electronic;elektroniczny
wheelchair;wózek(inwalidzki)
graphite;grafit
claw;pazur, szpon, szczypce
dry;suchy, wytrawny
territory;terytorium, teren
harness;uprząż(dla konia), pas bezpieczeństwa, ujarzmić
supply;dostarczać, zapas, dostawa
wench;dziewka, dziewoja
erratum;pl errata - błąd drukarski, errata
rework;przerabiać, zrewidować
medieval;średniowieczny
teenager;nastolatek(-tka)
financial;finansowy
I don't mind;Nie mam nic przeciwko
quirky;dziwny, dziwaczny
stride;strode stridden - chodzić zamaszystym krokiem
latchkey;klucz(od drzwi wejściowych)
miscellaneousness;rozmaitość, różnorodność
lair;legowisko
topmost;najwyższy, na szczycie
headphones;słuchawki
gentleman;gentlemen - dżentelmen, mężczyzna
notice;ogłoszenie, zauważać
coefficient;współczynnik (Math,Physics)
seventy;siedemdziesiąt(70)
trusty;wierny, sprawdzony, więzień otrzymujący przywileje za dobre zachowanie
chair;krzesło, fotel, przewodniczący(-ca), przewodniczyć
handedness;tendencja do używanie jednej ręki częściej od drugiej
palace;pałac
immigrant;imigrant
meekly;łagodnie, potulnie
mast;maszt, wyposażyć w maszt
shift;zmiana, przesuwać
trick;sztuczka, oszukiwać
dryer;suszarka
pharmaceutical;farmaceutyczny
encouraging;zachęcający
outdo;outdid outdone - przewyższać
cavern;pieczara
hire;wynajmować
usually;zwykle, zazwyczaj
simplify;upraszczać, ułatwiać
tray;taca, tacka
brown;brązowy
stain;plama, plamić, bejca, bejcować
pitter-patter;bębnienie, bębnić, stuk-puk
sunset;zachód słońca
as soon as possible;jak najszybciej, tak szybko jak tylko możliwe
zip;zamek błyskawiczny
publication;publikacja
please;proszę
sociable;towarzyski
adverb;przysłówek
suspend;zawieszać
projector;rzutnik
linen;pościel, len(roślina), bielizna
pan;rondel, patelnia
rid sb/sth of;rid rid - uwalniać kogoś/coś od
softly;łagodnie, delikatnie
approximately;około, w przybliżeniu
fee;opłata
passage;korytarz, fragment
lift;unosić, podnosić się, winda
tighten;napinać, dokręcać
homesick;nostalgiczny, stęskniony za domem
catacombs;katakumby
organizer;organizator(ka)
suffocate;dusić się/kogoś
tube;rurka, metro
fur;futro(na zwierzęciu)
assemble;zbierać, montować, składać
Sunday;niedziela
arrow;strzała, strzałka
exclaim;wykrzykiwać, krzyczeć
crowded;zatłoczony, przeludniony
sooner;prędzej
morsel;kawałek, kąsek
application;podanie, wniosek, aplikacja
put away;chować, zamykać
friendship;przyjaźń
lord;władca, lord, ekscelencjo
vat;cysterna, kadź, zbiornik
grumpy;zrzędliwy
galloping;galopujący
throb;bicie, pulsowanie, walić(pulsować HEART)
exclusive rights;wyłączne prawa
discount;zniżka, rabat, udzielać rabatu
aid;pomoc, pomagać
voyage;podróż, rejs, odbywać dalekie podróże
preserved;zachowany, konserwowany
rainbow;tęcza
stripe;pasek
have mercy;zmiłować się
drive up;podnosić, podjechać do
cough;kaszleć, kaszel
watt;wat
hunch;przeczucie, garb, garbić się
technique;technika
rare;rzadki, krwisty(steak)
edit;edytować
frame;rama, ramka, oprawka, oprawiać
registry office;urząd stanu cywilnego
powerless;bezradny, bezsilny
beam;wiązka
reproach;skarga, zarzut, zarzucać
image;wizerunek, obraz
a matter of time;kwestia czasu
five;pięć(5)
repent;żałować, okazywać skruchę
planet;planeta
impress;wywierać wrażenie, imponować
tusk;cios(u słonia), kieł(u morsa, dzika)
chop;rąbać, siekać, kotlet
thank;dziękować
chain;łańcuch
avail;korzyść, pożytek, przynosić korzyść
fleet;flota, park(samochodowy)
advise;radzić, doradzać
veal;cielęcina
fate;los
towards;do, ku, w kierunku
stray;błądzić, zabłąkany, przybłęda
shaky;chwiejny, niepewny
modestly;skromnie
confidential;poufny, tajny
parrot;papuga
cinnamon;cynamon, cynamonowiec, cynamonowy
software;oprogramowanie
darken;przyciemniać, zachmurzać
make a fortune;zarobić fortunę
cape;peleryna, przylądek
gallery;galeria
sine;sinus(Math)
passionately;czule, namiętnie
oblige;zobowiązywać się
in vain;na próżno
chink;szczelina, brzęk(sound)
infra-red;podczerwony
hard-core;twardy, ciężki
majestic;majestatyczny
cyst;pęcherz(under skin), torbiel(inside body)
skirt;spódnica
April Fool's Day;Prima aprilis
backup;zapasowy, pomocniczy
numeric;numeryczny
dagger;sztylet
matter;sprawa
clinic;klinika, godziny przyjęć lub konsultacji
tower;wieża
stand-alone;autonomiczny(o programach, serwerach - niezależny)
bakehouse;piekarnia
delight;wielka przyjemność, rozkosz, zachwycać
rush;pośpiech, śpieszyć się
grateful;wdzięczny
cheep;piszczeć, pisk
mandolin(e);mandolina
plane;samolot
enormous;ogromny
pounding;uszkodzenia, łomotanie, lanie(manto, baty)
twin;bliźniak(-aczka), bliźniaczy
custom;zwyczaj, tradycja, na zamówienie
iris;tęczówka(część oka)
part;część, rola
belt;pasek
taekwondo;taekwondo(koreańska sztuka walki)
ballistics;balistyka
big;duży
obsolete;przestarzały
firstly;po pierwsze
provincial;prowincjonalny
discover;odkrywać
mirror;lustro
condescending;protekcjonalny
criterion;pl criteria - kryterium
ergonomics;ergonomia
composition;kompozycja, wypracowanie(essay)
dread;strach, bać się
treacherous;podstępny, zdradziecki
occasion;sposobność, okazja
favourably;(UK) korzystnie, przychylnie
idea;pomysł
guide;przewodnik, oprowadzać
fine;świetny, cienki
ducking;robienie uniku
atmosphere;atmosfera
towel;ręcznik
crate;skrzynka, gruchot(VEHICLE)
chill;chłód, ziąb, przeziębienie
pen;długopis
scheduled;zaplanowany
confine;zamykać, ograniczać
indignant;oburzony
valley;dolina
cleft;szczelina
swell;swelled swollen - mistrz, goguś, spuchnąć, nabrzmiewać
arrange;organizować, aranżować, ustawiać
amazingly;niesamowicie
sequence;kolejność, sekwencja
sentry;wartownik, strażnik, warta
compliment;komplement, gratulować
face;twarz, zwracać się twarzą do
confession;przyznanie się, spowiedź, wyznanie
mortal;śmiertelny, śmiertelnik
refuse;odmawiać, odpadki
be fond of sb/sth;lubić kogoś/coś
assassinate;zabijać
immutable;niezmienny, trwały
flier;lotnik
sweet;cukierek, słodki
wedlock;związek małżeński
early;wcześnie, wczesny
fiber;(US)włókno, błonnik
knock back;obciągać
novelty;nowość
pare;obcinać, obierać
prospect;perspektywa
ivy;bluszcz
hint;aluzja, wskazówka, ślad
bland;bez smaku, nijaki
regulation;kontrola, przepis(ustawa)
stand for;znaczyć, oznaczać
slew;obracać gwałtownie
therefore;dlatego(też), zatem
dot-matrix printer;drukarka igłowa
notifying;powiadamianie, zgłaszanie
hand over;podawać, przekazać
marital;małżeński
go;went gone - iść, jechać
anew;na nowo, od nowa
oilcloth;cerata
span;okres(czas trwania czegoś), przedział
meddle;mieszać się, wtrącać się
labor;(US) praca, robota, poród, ciężko pracować
diamonds;karo(CARDS)
scowl;gniewne spojrzenie, patrzeć gniewnie
reload;przeładować, ponownie załadować
nutrition;odżywianie, wartość odżywcza
pump up;pompować
cannabis;marihuana
feeble;słaby
rippling;falujący
virtuoso;pl virtuosos/virtuosi - wirtuoz, wirtuozerski
pixel;piksel
godson;chrześniak
scalar product;iloczyn skalarny
braces;szelki
earnest;powaga, zaliczka, kaucja, poważny
twice;dwa razy, dwukrotnie
durable;trwały, wytrzymały
genie;pl genii or genies - dżin
totally;całkowicie, zupełnie
numb;zdrętwiały, powodować drętwienie
shiver;drżenie, drżeć
sparkling;gazowany, musujący, iskrzący się, błyskotliwy
indescribable;nie dający się opisać, nieopisany
extremity;kończyna, koniec
panicky;panikarski
peripheral;uboczny, urządzenie peryferyjne(COMPUTERS)
scope;miejsce, zasięg
snuff;tabaka(tytoń do nosa), zgasić, wciągać (tabakę)
out of stock;brak na stanie
treasure;pl treasures - skarb
reverse;przeciwieństwo, przeciwny, odwrotny, odwracać
crater;krater, lej
offspring;potomstwo
pigeon;gołąb
stained glass window;witraż
scarecrow;strach na wróble
like;lubić, (taki) jak
prefer;woleć, preferować
shipwreck;katastrofa morska, wrak(statku)
debate;debata, debatować
park;park
photograph;fotografia, zdjęcie, fotografować
festivity;święto, uroczystość, festyn
haunted;nawiedzony(dom, zamek), udręczony
swamp;bagno, mokradło, zatapiać
marshal;marszałek, komendant straży pożarnej, funkcjonariusz policji, ustawiać, wprowadzać
vapour;(UK) mgła, para
spin;spun/span spun - obracać się, wirować
bad-tempered;w złym humorze
semiconductor;półprzewodnik
tire;(US)opona, męczyć się
cheeky;bezczelny
fuse;bezpiecznik, zapalnik, topić(metal)(UK)
dog;pies
ripped;narąbany, nachlany
cry;płakać, krzyczeć
gateway;wejście, brama wjazdowa, brama sieciowa(INF)
jewellery;biżuteria(UK)
reap;zbierać, kosić
complex;złożony, kompleks
homework;praca domowa
liberate;uwalniać
will do;wystarczać
window;okno
comment on;komentować
oppressed;uciskany, gnębiony
knothole;dziura po sęku(w drewnie)
against;przeciwko
cell;cela, komórka
take away;odbierać, wynosić
admission;przyjęcie, wstęp, opłata za wstęp
publisher;wydawca
fall down;upadać
landlocked;bez dostępu do morza, śródlądowy
scythe;kosa
kernel;jądro, sedno, istota
graph;wykres
chandelier;żyrandol
scratch;podrapać się, zadrapać, zadrapanie
north;północ, północny
powder;proszek
unlucky;nieszczęśliwy
entrance;wejście
unrest;niepokój
fridge;lodówka
literally;dosłownie
wring;wrung wrung - wymuszać, wykręcać, uścisk, wyciśnięcie
gospel;ewangelia, zestaw idei w które ktoś mocno wierzy
stylish;stylowy
chambermaid;pokojówka
ham;szynka
tavern;karczma, tawerna
promptly;bezzwłocznie, natychmiast
comrade;kolega, towarzysz
central;centralny, środkowy
knacker;wykańczać, męczyć
adorable;cudowny, uroczy, godny uwielbienia
discipline;dziedzina, dyscyplina, narzucać dyscyplinę
accomplish;osiągać, dokonywać
gentleness;łagodność, delikatność
shut;shut shut - zamykać
request;prośba, prosić o
paper;papier
patch;łata, łatać
snap;trzask, zdjęcie, fotka, nagły(DECISION), łamać, pękać
beck;skinienie, zawołanie, strumyk
insider dealer;osoba wykorzystująca poufne informacje(w transakcjach)
visit;wizyta, odwiedzać
box;pudełko
get along with sb;mieć z kimś dobre stosunki
install;instalować
cold;zimny
those;(tam)ci, (tam)te
hopeful;pełen nadziei, optymistyczny
valentine;adresat walentynki, walentynka
insider trading;wykorzystywanie poufnych informacji(w transakcjach)
systematize;(US) usystematyzować
excitement;podniecenie
elbow;łokieć
starving;umierający z głodu, głodujący
readership;czytelnicy
dove;gołąb
alert;czujny, alarmować, stan gotowości
wound;rana, ranić
pear;gruszka
innocent;niewinny
peach;brzoskwinia
citizen;obywatel(ka)(COUNTRY), mieszkaniec(-nka)(OF TOWN)
